Vivado Simulator 2020.1
Time resolution is 1 ps
Time=29350000 | PC=60 | Inst=00c32023 | LEDs=0 | switches=0 | rst=0
Time=29450000 | PC=64 | Inst=00060c63 | LEDs=5 | switches=0 | rst=0
Time=29550000 | PC=68 | Inst=fff60613 | LEDs=5 | switches=0 | rst=0
Time=29650000 | PC=72 | Inst=00300693 | LEDs=5 | switches=0 | rst=0
Time=29750000 | PC=76 | Inst=fff68693 | LEDs=5 | switches=0 | rst=0
Time=29850000 | PC=80 | Inst=fe069ee3 | LEDs=5 | switches=0 | rst=0
Time=29950000 | PC=76 | Inst=fff68693 | LEDs=5 | switches=0 | rst=0
Time=30050000 | PC=80 | Inst=fe069ee3 | LEDs=5 | switches=0 | rst=0
Time=30150000 | PC=76 | Inst=fff68693 | LEDs=5 | switches=0 | rst=0
Time=30250000 | PC=80 | Inst=fe069ee3 | LEDs=5 | switches=0 | rst=0
